PID,TrackName,CarName,EventDate,Lap,LapTime,Corr Speed kmh_Min,Corr Speed kmh_Max,Corr Speed kmh_Avg,Corr Speed kmh_Start,Corr Speed kmh_End,Corr Speed kmh_Std Dev,BRAKE _Min,BRAKE _Max,BRAKE _Avg,BRAKE _Start,BRAKE _End,BRAKE _Std Dev,Oversteer _Min,Oversteer _Max,Oversteer _Avg,Oversteer _Start,Oversteer _End,Oversteer _Std Dev,ROTY s_Min,ROTY s_Max,ROTY s_Avg,ROTY s_Start,ROTY s_End,ROTY s_Std Dev,THROTTLE _Min,THROTTLE _Max,THROTTLE _Avg,THROTTLE _Start,THROTTLE _End,THROTTLE _Std Dev,abs glat_Max,abs glat_Avg,abs glat_Start,abs glat_End,abs glat_Std Dev,abs glong_Min,abs glong_Max,abs glong_Avg,abs glong_Start,abs glong_End,abs glong_Std Dev,abs Steerangle_Min,abs Steerangle_Max,abs Steerangle_Avg,abs Steerangle_Start,abs Steerangle_End,abs Steerangle_Std Dev,lane deviation_Min,lane deviation_Max,lane deviation_Avg,lane deviation_Start,lane deviation_End,lane deviation_Std Dev,steering reversal rate per lap_Min,steering reversal rate per lap_Max,steering reversal rate per lap_Avg,steering reversal rate per lap_Start,steering reversal rate per lap_End,steering reversal rate per lap_Std Dev,steering reversal rate per sector_Min,steering reversal rate per sector_Max,steering reversal rate per sector_Avg,steering reversal rate per sector_Start,steering reversal rate per sector_End,steering reversal rate per sector_Std Dev,understeer_Min,understeer_Max,understeer_Avg,understeer_Start,understeer_End,understeer_Change,understeer_Std Dev,z,outlier,validlap,cluster_label
P077,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 2,96.149,1.91,0.63,0.34,0.3,0.5,0.0,1.41,0.47,0.27,0.27,0.28,-0.0,132.67,24.91,10.85,8.38,29.49,0.0,70.0,11.0,0.0,0.0,20.0,64.4,218.7,133.1,189.8,192.8,37.4,0.0,1.0,0.18,0.0,0.0,0.38,-6.05,2.2,-1.07,-0.77,-0.58,1.33,-40.65,48.73,3.73,4.67,3.48,16.7,0.0,17.1,8.97,16.28,13.68,4.85,0.0,3.97,0.33,0.2,0.0,0.63,0.0,100.0,58.0,100.0,100.0,44.0,0.0,6.05,1.09,0.77,0.58,-0.19,1.3,-0.3821222150396902,0,1,Fast
P077,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 3,97.604,2.1,0.66,0.3,0.42,0.51,0.0,1.81,0.46,0.27,0.27,0.27,-0.0,179.27,29.76,8.38,12.47,38.74,0.0,68.0,11.0,0.0,0.0,19.0,54.5,216.9,131.8,192.8,188.7,38.3,0.0,1.0,0.21,0.0,0.0,0.41,-9.84,10.8,-1.29,-0.58,-0.86,2.47,-47.18,60.7,3.69,3.48,6.18,17.44,0.0,20.2,10.93,13.68,11.31,5.59,0.0,4.13,0.45,0.0,0.47,0.74,0.0,100.0,58.0,100.0,100.0,43.0,0.0,9.84,1.44,0.58,0.86,0.28,2.17,-0.285070651704696,0,1,Fast
P077,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 4,100.319,5.59,0.61,0.42,0.31,0.5,0.0,16.11,0.48,0.27,0.25,0.47,-0.0,146.67,27.72,12.47,8.24,34.57,0.0,100.0,12.0,0.0,0.0,22.0,28.9,218.4,127.4,188.7,192.2,41.7,0.0,1.0,0.18,0.0,0.0,0.38,-8.3,17.93,-0.9,-0.86,-0.57,2.61,-78.92,94.01,3.59,6.18,3.72,18.24,0.0,17.9,9.66,11.31,7.52,5.19,0.0,4.15,0.41,0.47,0.05,0.61,0.0,100.0,58.0,100.0,100.0,44.0,0.0,8.3,1.16,0.86,0.57,-0.3,1.68,-0.1039744355847581,0,0,Fast
P077,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 5,95.617,1.98,0.63,0.31,0.43,0.49,0.0,1.47,0.46,0.25,0.25,0.29,-0.0,152.29,25.58,8.24,11.41,32.19,0.0,84.0,11.0,0.0,0.0,20.0,62.9,216.2,133.7,192.2,192.7,37.9,0.0,1.0,0.17,0.0,0.0,0.37,-9.95,3.56,-1.17,-0.57,-0.75,1.79,-42.25,47.83,3.74,3.72,4.7,16.03,0.0,15.98,8.33,7.52,0.0,4.45,0.0,4.0,0.3,0.05,0.0,0.6,0.0,100.0,57.0,100.0,100.0,44.0,0.0,9.95,1.2,0.57,0.75,0.18,1.76,-0.4176077351044438,0,0,Fast
P077,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 6,108.647,3.3,0.58,0.43,0.42,0.47,0.0,1.48,0.46,0.25,0.26,0.28,-0.0,229.11,35.58,11.41,10.35,45.84,0.0,87.0,12.0,0.0,0.0,21.0,0.0,217.6,118.3,192.7,192.0,52.4,0.0,1.0,0.15,0.0,0.0,0.36,-5.11,25.77,-0.73,-0.75,-0.68,1.9,-113.07,45.02,3.32,4.7,5.05,18.73,0.0,16.78,9.05,0.0,9.73,4.64,0.0,4.47,0.37,0.0,0.0,0.75,0.0,100.0,57.0,100.0,100.0,44.0,0.0,5.11,0.89,0.75,0.68,-0.06,1.05,0.4515206980604874,0,0,Slow
P076,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 2,138.029,13.82,0.5,0.23,0.12,0.63,0.0,62.43,0.21,0.28,0.0,1.24,-0.0,240.0,54.34,9.16,7.3,77.56,0.0,63.0,1.0,0.0,0.0,6.0,14.3,161.7,95.3,136.8,99.2,36.8,0.0,1.0,0.22,0.0,0.0,0.41,-21.62,28.65,-1.71,-0.62,-0.44,5.93,-182.72,294.09,1.0,3.81,2.59,22.4,0.0,30.52,18.99,1.43,9.15,8.81,0.0,4.22,0.77,0.0,0.0,1.16,0.0,100.0,39.0,100.0,28.0,27.0,0.0,21.62,2.21,0.62,0.44,-0.18,4.8,2.4113619584789068,1,1,
P076,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 3,137.427,17.19,0.44,0.12,0.19,0.63,0.0,24.24,0.15,0.0,0.22,0.5,-0.0,240.0,39.48,7.3,7.27,63.07,0.0,78.0,1.0,0.0,0.0,7.0,19.2,150.3,95.2,99.2,121.6,28.2,0.0,1.0,0.16,0.0,0.0,0.37,-21.23,9.46,-2.0,-0.44,-0.41,4.47,-68.16,357.22,2.6,2.59,3.12,19.51,0.0,22.67,11.93,9.15,15.41,7.23,0.0,4.22,0.41,0.0,0.0,0.71,0.0,100.0,39.0,28.0,100.0,26.0,0.0,21.23,2.03,0.44,0.41,-0.02,4.45,2.3712072910372117,1,1,
P076,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 4,132.177,4.33,0.5,0.19,0.08,0.55,0.0,2.04,0.13,0.22,0.14,0.12,-0.0,240.0,47.31,7.27,3.9,75.03,0.0,8.0,0.0,0.0,0.0,1.0,37.3,148.1,98.9,121.6,115.5,22.3,0.0,1.0,0.23,0.0,0.0,0.42,-19.91,16.6,-2.66,-0.41,-0.24,5.59,-77.58,91.79,2.71,3.12,1.42,17.84,0.0,31.07,15.67,15.41,1.86,9.84,0.0,4.25,0.76,0.0,0.57,1.09,0.0,100.0,38.0,100.0,76.0,27.0,0.0,19.91,2.78,0.41,0.24,-0.17,5.44,2.021021237766613,1,0,
P076,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 5,161.799,15.05,0.38,0.08,0.14,0.57,0.0,9.77,0.12,0.14,0.21,0.23,-0.0,240.0,66.81,3.9,6.87,92.33,0.0,50.0,0.0,0.0,0.0,4.0,0.0,137.4,81.2,115.5,126.6,37.6,0.0,1.0,0.14,0.0,0.0,0.35,-20.12,27.03,-1.5,-0.24,-0.43,4.31,-114.92,303.88,2.2,1.42,2.54,20.93,0.0,22.93,12.0,1.86,2.75,6.56,0.0,3.4,0.45,0.57,2.47,0.83,0.0,100.0,33.0,76.0,99.0,26.0,0.0,20.12,1.6,0.24,0.43,0.18,4.09,3.996871003477404,1,0,
P075,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","8/27/2023, ",Lap 1,98.142,2.33,0.59,0.52,0.41,0.5,0.0,1.3,0.44,0.27,0.25,0.23,-0.0,204.85,26.82,12.94,5.94,37.14,0.0,60.0,9.0,0.0,0.0,14.0,57.6,205.7,130.4,191.4,193.2,36.5,0.0,1.0,0.18,0.0,0.0,0.39,-10.24,21.18,-0.97,-0.83,-0.47,2.28,-73.4,71.05,3.65,6.84,2.98,17.36,0.0,17.85,8.84,12.05,4.64,5.22,0.0,3.62,0.33,0.0,0.0,0.56,0.0,100.0,53.0,100.0,100.0,46.0,0.0,10.24,1.14,0.83,0.47,-0.36,1.68,-0.2491849190076331,0,0,Fast
